,building_id,site_id,sqm,yearbuilt
167,Robin_lodging_Armand,Robin,5246.0,1960.0
168,Robin_assembly_Colleen,Robin,5948.0,1967.0
169,Robin_public_Carolina,Robin,10984.0,
170,Robin_public_Cami,Robin,5261.0,1900.0
171,Robin_office_Shirlene,Robin,4647.0,
172,Robin_office_Gayle,Robin,4161.0,1919.0
173,Robin_office_Dina,Robin,4213.0,
174,Robin_office_Victor,Robin,3724.0,
175,Robin_office_Lindsay,Robin,5358.0,
176,Robin_office_Adolph,Robin,1321.0,
177,Robin_office_Saul,Robin,2937.0,1956.0
178,Robin_office_Donald,Robin,7669.0,1977.0
179,Robin_office_Wai,Robin,16221.0,1960.0
180,Robin_office_Zelma,Robin,7607.0,1960.0
181,Robin_office_Antonina,Robin,6099.7,1955.0
182,Robin_office_Serena,Robin,2833.1,1997.0
183,Robin_office_Soledad,Robin,957.0,1970.0
184,Robin_office_Erma,Robin,4434.0,1928.0
185,Robin_office_Addie,Robin,1495.0,1965.0
186,Robin_office_Maryann,Robin,3201.0,1907.0
187,Robin_office_Sammie,Robin,4802.0,1930.0
188,Fox_public_Denny,Fox,4058.1,2007.0
189,Fox_office_Clayton,Fox,488.5,
190,Fox_office_Susanne,Fox,941.6,
191,Fox_education_Vernon,Fox,3825.7,
192,Fox_education_Charles,Fox,909.3,
193,Fox_assembly_Kathie,Fox,1466.6,
194,Fox_education_Kendrick,Fox,1052.5,
195,Fox_education_Delma,Fox,9181.5,1968.0
196,Fox_education_Ollie,Fox,6698.5,1970.0
197,Fox_warehouse_Pearl,Fox,1199.2,1979.0
198,Fox_warehouse_Lorretta,Fox,360.2,1975.0
199,Fox_lodging_Helen,Fox,51394.9,2009.0
200,Fox_lodging_Stephen,Fox,8019.7,1956.0
201,Fox_education_Andre,Fox,17044.0,2005.0
202,Fox_education_Yolande,Fox,16681.6,2006.0
203,Fox_retail_Manie,Fox,4201.4,1982.0
204,Fox_office_Essie,Fox,12244.3,1968.0
205,Fox_office_Israel,Fox,11282.1,1983.0
206,Fox_education_Rosie,Fox,8445.2,
207,Fox_education_Tonya,Fox,8444.9,
208,Fox_education_Nilda,Fox,10371.2,1989.0
209,Fox_education_Kim,Fox,5782.1,1970.0
210,Fox_assembly_Boyce,Fox,15520.9,1989.0
211,Fox_office_Berniece,Fox,2173.2,
212,Fox_food_Francesco,Fox,2310.2,2012.0
213,Fox_education_Maris,Fox,2284.1,
214,Fox_education_Elvira,Fox,13826.7,2014.0
215,Fox_assembly_Jerrod,Fox,94.9,
216,Fox_education_Leota,Fox,12311.3,1992.0
217,Fox_education_Heriberto,Fox,3174.6,
218,Fox_education_Miguelina,Fox,7831.7,
219,Fox_education_Maureen,Fox,22757.9,2008.0
220,Fox_religion_Maurice,Fox,151.3,1948.0
221,Fox_education_Sterling,Fox,4106.6,1950.0
222,Fox_office_Margarita,Fox,2187.8,1941.0
223,Fox_education_Elois,Fox,695.0,1969.0
224,Fox_education_Geoffrey,Fox,12731.4,1957.0
225,Fox_education_Gayla,Fox,7271.3,1964.0
226,Fox_education_Gloria,Fox,14087.5,1983.0
227,Fox_office_Molly,Fox,576.3,1999.0
228,Fox_office_Demetrius,Fox,14463.3,
229,Fox_office_Sheila,Fox,901.4,1940.0
230,Fox_assembly_Cindy,Fox,3765.5,
231,Fox_public_Rhonda,Fox,9555.6,
232,Fox_office_Yong,Fox,15232.3,2004.0
233,Fox_parking_Tommie,Fox,37633.4,2004.0
234,Fox_assembly_Emma,Fox,13293.8,1964.0
235,Fox_education_Wendell,Fox,20402.2,1992.0
236,Fox_lodging_Alana,Fox,6938.2,2006.0
237,Fox_lodging_Wallace,Fox,5885.2,2007.0
238,Fox_lodging_Isabell,Fox,2875.3,1951.0
239,Fox_lodging_Winifred,Fox,5582.2,2001.0
240,Fox_public_Martin,Fox,32129.3,1966.0
241,Fox_public_Lauren,Fox,9262.4,
242,Fox_health_Lorena,Fox,3428.5,1934.0
243,Fox_education_Claude,Fox,17957.6,2006.0
244,Fox_education_Jaclyn,Fox,6619.2,2004.0
245,Fox_education_Etta,Fox,4497.5,
246,Fox_education_Otilia,Fox,30403.1,2012.0
247,Fox_education_Eldon,Fox,4613.7,1964.0
248,Fox_education_Janina,Fox,8479.5,1951.0
249,Fox_lodging_Stephan,Fox,3382.2,1940.0
250,Fox_education_Long,Fox,12733.7,1964.0
251,Fox_education_Leona,Fox,26286.5,2003.0
252,Fox_public_Belle,Fox,1524.6,
253,Fox_education_Dominique,Fox,8930.2,1959.0
254,Fox_education_Theodore,Fox,11389.2,1971.0
255,Fox_education_Melinda,Fox,18984.6,1993.0
256,Fox_assembly_Audrey,Fox,1108.8,1939.0
257,Fox_education_Willis,Fox,24265.1,
258,Fox_education_Elizabeth,Fox,25295.4,1955.0
259,Fox_lodging_Angla,Fox,20115.9,1967.0
260,Fox_office_Carson,Fox,6891.5,1930.0
261,Fox_assembly_Cecelia,Fox,1591.6,1918.0
262,Fox_lodging_Warren,Fox,4562.3,1951.0
263,Fox_education_Eddy,Fox,13015.0,
264,Fox_education_Shawanda,Fox,960.1,
265,Fox_education_Stacia,Fox,3134.5,1939.0
266,Fox_assembly_Gary,Fox,2261.7,1981.0
267,Fox_education_Rudolph,Fox,2335.5,1970.0
268,Fox_education_Louie,Fox,16645.2,1971.0
269,Fox_education_Ashli,Fox,864.8,1970.0
270,Fox_assembly_Cathy,Fox,13386.0,1989.0
271,Fox_public_Bart,Fox,9407.5,1982.0
272,Fox_office_Bernard,Fox,4182.2,
273,Fox_lodging_Jina,Fox,9888.6,1963.0
274,Fox_lodging_Frances,Fox,10340.5,1964.0
275,Fox_assembly_Terrell,Fox,4830.9,1974.0
276,Fox_parking_Lynelle,Fox,14596.3,1987.0
277,Fox_parking_Felipa,Fox,51767.1,2004.0
278,Fox_education_Dewayne,Fox,8892.4,
279,Fox_education_Shirley,Fox,8220.6,
280,Fox_office_Alice,Fox,18806.8,1967.0
281,Fox_education_Marlana,Fox,5997.8,1965.0
282,Fox_education_Melvin,Fox,2289.4,1982.0
283,Fox_assembly_Renna,Fox,16671.4,1976.0
284,Fox_education_Lilly,Fox,12236.3,1991.0
285,Fox_education_Virginia,Fox,1186.7,
286,Fox_education_Marcelina,Fox,400.8,1907.0
287,Fox_education_Virgil,Fox,6123.0,1964.0
288,Fox_assembly_Johnnie,Fox,23668.5,1989.0
289,Fox_education_Suzan,Fox,4559.5,1914.0
290,Fox_education_Lesley,Fox,1555.6,
291,Fox_education_Burton,Fox,7028.1,
292,Fox_education_Shaun,Fox,6616.9,
293,Fox_education_Cynthia,Fox,7197.1,
294,Fox_education_Jacqueline,Fox,11797.3,1979.0
295,Fox_education_Tamika,Fox,8339.9,
296,Fox_assembly_Leeanne,Fox,1932.8,1999.0
297,Fox_education_Claire,Fox,8145.1,1960.0
298,Fox_office_Edythe,Fox,7772.3,1973.0
299,Fox_office_Thelma,Fox,11052.3,1988.0
300,Fox_education_Kris,Fox,2837.5,
301,Fox_assembly_Carlos,Fox,6706.9,2013.0
302,Fox_assembly_Tony,Fox,7231.9,
303,Fox_assembly_Bradley,Fox,75207.8,1958.0
304,Fox_office_Easter,Fox,2766.5,
305,Fox_education_Carleen,Fox,6635.2,
306,Fox_education_Henrietta,Fox,425.8,
307,Fox_office_Zachary,Fox,13038.5,
308,Fox_office_Brandy,Fox,3921.8,1985.0
309,Fox_office_Vicki,Fox,6580.5,2014.0
310,Fox_office_Joy,Fox,6581.0,2014.0
311,Fox_education_Ray,Fox,1185.5,1909.0
312,Fox_office_Gaylord,Fox,13759.0,
313,Fox_education_John,Fox,4587.9,1967.0
314,Fox_assembly_Dixie,Fox,9801.7,2008.0
315,Fox_food_Scott,Fox,2681.4,
316,Fox_office_Juana,Fox,2671.0,
317,Fox_assembly_Sheldon,Fox,4823.5,
318,Fox_assembly_Adrianne,Fox,21391.8,1975.0
319,Fox_utility_Marian,Fox,2040.0,
320,Fox_lodging_Morris,Fox,3051.0,1935.0
321,Fox_office_Rowena,Fox,3132.0,1956.0
322,Fox_assembly_Christie,Fox,997.1,2005.0
323,Fox_assembly_Lakeisha,Fox,898.0,2005.0
324,Fox_office_Karima,Fox,4806.1,1966.0
325,Moose_education_Dennis,Moose,6000.0,1923.0
326,Moose_education_Sasha,Moose,8000.0,1911.0
327,Moose_education_Ricardo,Moose,14000.0,
328,Moose_education_Omar,Moose,31000.0,1938.0
329,Moose_education_Lori,Moose,14000.0,1964.0
330,Moose_education_Gladys,Moose,67999.9,1969.0
331,Moose_education_Maria,Moose,35999.9,1960.0
332,Moose_education_Marlon,Moose,21000.0,1965.0
333,Moose_education_Clark,Moose,70999.9,1979.0
334,Moose_education_Rene,Moose,37999.9,1970.0
335,Moose_education_Leland,Moose,48999.9,1976.0
336,Moose_education_Marina,Moose,6000.0,1955.0
337,Moose_education_Abbie,Moose,45000.0,1952.0
338,Moose_education_Florence,Moose,26999.9,1995.0
339,Moose_education_Diane,Moose,16999.9,1962.0
340,Crow_education_Marlin,Crow,7561.4,
341,Crow_education_Keisha,Crow,14173.2,
342,Crow_education_Kate,Crow,6320.2,
343,Crow_education_Winston,Crow,8659.1,
344,Crow_education_Omer,Crow,11857.4,
345,Shrew_office_Katherine,Shrew,3410.0,1902.0
346,Shrew_office_Doris,Shrew,22568.9,
347,Shrew_office_Rose,Shrew,1058.0,
348,Shrew_office_Lin,Shrew,13995.0,1915.0
349,Shrew_office_Kenneth,Shrew,1719.0,1937.0
350,Shrew_office_Nora,Shrew,10203.0,1906.0
351,Shrew_office_Ila,Shrew,10905.0,
352,Shrew_office_Doug,Shrew,5630.0,1906.0
353,Shrew_office_Sherill,Shrew,18098.0,2000.0
354,Mouse_health_Modesto,Mouse,17993.0,1994.0
355,Mouse_health_Justin,Mouse,17735.0,2012.0
356,Mouse_health_Estela,Mouse,17193.0,1936.0
357,Mouse_health_Ileana,Mouse,5399.0,1954.0
358,Mouse_health_Buddy,Mouse,1749.0,
359,Mouse_lodging_Vicente,Mouse,3489.0,2006.0
360,Mouse_science_Micheal,Mouse,5931.0,1996.0
